ID,Employees,Admins,Assets,Disclose,Ransomware
327,5000.0,1000.0,10000.0,1.0,1.0
328,10000.0,1000.0,10000.0,1.0,1.0
329,1.0,5000.0,10000.0,1.0,1.0
330,10.0,5000.0,10000.0,1.0,1.0
331,50.0,5000.0,10000.0,1.0,1.0
332,100.0,5000.0,10000.0,1.0,1.0
333,1000.0,5000.0,10000.0,1.0,1.0
334,5000.0,5000.0,10000.0,1.0,1.0
335,10000.0,5000.0,10000.0,1.0,1.0
336,1.0,10000.0,10000.0,1.0,1.0
337,10.0,10000.0,10000.0,1.0,1.0
338,50.0,10000.0,10000.0,1.0,1.0
339,100.0,10000.0,10000.0,1.0,1.0
340,1000.0,10000.0,10000.0,1.0,1.0
341,5000.0,10000.0,10000.0,1.0,1.0
342,10000.0,10000.0,10000.0,1.0,1.0
343,1.0,1.0,1.0,2.0,1.0
344,10.0,1.0,1.0,2.0,1.0
345,50.0,1.0,1.0,2.0,1.0
346,100.0,1.0,1.0,2.0,1.0
347,1000.0,1.0,1.0,2.0,1.0
348,5000.0,1.0,1.0,2.0,1.0
349,10000.0,1.0,1.0,2.0,1.0
350,1.0,10.0,1.0,2.0,1.0
351,10.0,10.0,1.0,2.0,1.0
352,50.0,10.0,1.0,2.0,1.0
353,100.0,10.0,1.0,2.0,1.0
354,1000.0,10.0,1.0,2.0,1.0
355,5000.0,10.0,1.0,2.0,1.0
356,10000.0,10.0,1.0,2.0,1.0
357,1.0,50.0,1.0,2.0,1.0
358,10.0,50.0,1.0,2.0,1.0
359,50.0,50.0,1.0,2.0,1.0
360,100.0,50.0,1.0,2.0,1.0
361,1000.0,50.0,1.0,2.0,1.0
362,5000.0,50.0,1.0,2.0,1.0
363,10000.0,50.0,1.0,2.0,1.0
364,1.0,100.0,1.0,2.0,1.0
365,10.0,100.0,1.0,2.0,1.0
366,50.0,100.0,1.0,2.0,1.0
367,100.0,100.0,1.0,2.0,1.0
368,1000.0,100.0,1.0,2.0,1.0
369,5000.0,100.0,1.0,2.0,1.0
370,10000.0,100.0,1.0,2.0,1.0
371,1.0,1000.0,1.0,2.0,1.0
372,10.0,1000.0,1.0,2.0,1.0
373,50.0,1000.0,1.0,2.0,1.0
374,100.0,1000.0,1.0,2.0,1.0
375,1000.0,1000.0,1.0,2.0,1.0
376,5000.0,1000.0,1.0,2.0,1.0
377,10000.0,1000.0,1.0,2.0,1.0
378,1.0,5000.0,1.0,2.0,1.0
379,10.0,5000.0,1.0,2.0,1.0
380,50.0,5000.0,1.0,2.0,1.0
381,100.0,5000.0,1.0,2.0,1.0
382,1000.0,5000.0,1.0,2.0,1.0
383,5000.0,5000.0,1.0,2.0,1.0
384,10000.0,5000.0,1.0,2.0,1.0
385,1.0,10000.0,1.0,2.0,1.0
386,10.0,10000.0,1.0,2.0,1.0
387,50.0,10000.0,1.0,2.0,1.0
388,100.0,10000.0,1.0,2.0,1.0
389,1000.0,10000.0,1.0,2.0,1.0
390,5000.0,10000.0,1.0,2.0,1.0
391,10000.0,10000.0,1.0,2.0,1.0
392,1.0,1.0,10.0,2.0,1.0
393,10.0,1.0,10.0,2.0,1.0
394,50.0,1.0,10.0,2.0,1.0
395,100.0,1.0,10.0,2.0,1.0
396,1000.0,1.0,10.0,2.0,1.0
397,5000.0,1.0,10.0,2.0,1.0
398,10000.0,1.0,10.0,2.0,1.0
399,1.0,10.0,10.0,2.0,1.0
400,10.0,10.0,10.0,2.0,1.0
401,50.0,10.0,10.0,2.0,1.0
402,100.0,10.0,10.0,2.0,1.0
403,1000.0,10.0,10.0,2.0,1.0
404,5000.0,10.0,10.0,2.0,1.0
405,10000.0,10.0,10.0,2.0,1.0
406,1.0,50.0,10.0,2.0,1.0
407,10.0,50.0,10.0,2.0,1.0
408,50.0,50.0,10.0,2.0,1.0
409,100.0,50.0,10.0,2.0,1.0
410,1000.0,50.0,10.0,2.0,1.0
411,5000.0,50.0,10.0,2.0,1.0
412,10000.0,50.0,10.0,2.0,1.0
413,1.0,100.0,10.0,2.0,1.0
414,10.0,100.0,10.0,2.0,1.0
415,50.0,100.0,10.0,2.0,1.0
416,100.0,100.0,10.0,2.0,1.0
417,1000.0,100.0,10.0,2.0,1.0
418,5000.0,100.0,10.0,2.0,1.0
419,10000.0,100.0,10.0,2.0,1.0
420,1.0,1000.0,10.0,2.0,1.0
421,10.0,1000.0,10.0,2.0,1.0
422,50.0,1000.0,10.0,2.0,1.0
423,100.0,1000.0,10.0,2.0,1.0
424,1000.0,1000.0,10.0,2.0,1.0
425,5000.0,1000.0,10.0,2.0,1.0
426,10000.0,1000.0,10.0,2.0,1.0
427,1.0,5000.0,10.0,2.0,1.0
428,10.0,5000.0,10.0,2.0,1.0
429,50.0,5000.0,10.0,2.0,1.0
